Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,249.720001,250.210007,249.589996,250.169998,248.934601,59228000
2017-09-14,249.800003,250.320007,249.600006,250.089996,248.854996,95446300
2017-09-15,248.690002,249.289993,248.570007,249.190002,249.190002,95432400
2017-09-18,249.610001,250.119995,249.279999,249.720001,249.720001,46235200
2017-09-19,250.000000,250.070007,249.600006,249.970001,249.970001,47108100
2017-09-20,250.070007,250.190002,248.919998,250.059998,250.059998,59574100
2017-09-21,249.880005,249.979996,249.190002,249.389999,249.389999,48211400
2017-09-22,249.050003,249.630005,249.020004,249.440002,249.440002,51214000
2017-09-25,249.149994,249.550003,248.080002,248.929993,248.929993,57064400
2017-09-26,249.419998,249.699997,248.809998,249.080002,249.080002,54082000
2017-09-27,249.880005,250.490005,248.869995,250.050003,250.050003,81001400
2017-09-28,249.729996,250.440002,249.630005,250.350006,250.350006,44778800
2017-09-29,250.339996,251.320007,250.130005,251.229996,251.229996,85578000
2017-10-02,251.490005,252.320007,251.289993,252.320007,252.320007,59023000
2017-10-03,252.320007,252.889999,252.229996,252.860001,252.860001,66810200
2017-10-04,252.690002,253.440002,252.559998,253.160004,253.160004,55953600
2017-10-05,253.539993,254.679993,253.199997,254.660004,254.660004,63522800
2017-10-06,254.149994,254.699997,253.850006,254.369995,254.369995,80646000
2017-10-09,254.630005,254.699997,253.649994,253.949997,253.949997,35803100
2017-10-10,254.600006,255.050003,253.979996,254.619995,254.619995,43057400
2017-10-11,254.509995,255.020004,254.320007,255.020004,255.020004,47674300
2017-10-12,254.660004,255.059998,254.369995,254.639999,254.639999,44345500
2017-10-13,255.139999,255.270004,254.639999,254.910004,254.910004,58239537
