Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,79.500000,79.769997,79.379997,79.769997,79.769997,8369700
2017-09-14,79.849998,80.230003,79.769997,80.089996,80.089996,9072600
2017-09-15,80.120003,80.209999,79.550003,80.070000,80.070000,16043700
2017-09-18,79.790001,80.139999,79.699997,80.089996,80.089996,8594400
2017-09-19,80.059998,80.389999,79.989998,80.220001,80.220001,9277100
2017-09-20,80.279999,80.660004,80.260002,80.550003,80.550003,10606900
2017-09-21,80.489998,80.529999,79.760002,79.889999,79.889999,11984200
2017-09-22,79.720001,80.300003,79.669998,79.919998,79.919998,10205800
2017-09-25,80.029999,81.000000,79.980003,80.980003,80.980003,10496600
2017-09-26,80.709999,81.000000,80.559998,80.889999,80.889999,8755100
2017-09-27,80.889999,81.449997,80.790001,81.430000,81.430000,9724500
2017-09-28,81.629997,82.449997,81.559998,82.190002,82.190002,15581700
2017-09-29,81.940002,82.059998,81.580002,81.980003,81.980003,9944000
2017-10-02,81.300003,81.820000,81.250000,81.629997,81.629997,6777900
2017-10-03,81.410004,81.970001,81.300003,81.760002,81.760002,6082000
2017-10-04,81.800003,81.870003,81.449997,81.790001,81.790001,6357100
2017-10-05,81.720001,82.239998,81.589996,82.019997,82.019997,7375900
2017-10-06,81.769997,81.889999,81.360001,81.709999,81.709999,6070600
2017-10-09,81.839996,82.180000,81.760002,82.029999,82.029999,7489900
2017-10-10,82.339996,82.739998,82.089996,82.260002,82.260002,7218500
2017-10-11,82.160004,82.739998,82.139999,82.599998,82.599998,7023700
2017-10-12,82.309998,82.500000,82.169998,82.430000,82.430000,6496600
2017-10-13,82.730003,83.080002,82.360001,82.410004,82.410004,7174028
